financial_access_F,digital_presence_D,ecommerce_E,risk_finance,risk_digital,risk_ecommerce,fragility_formula,fragility_supplied,omega_1,omega_2,omega_3
0.75,0.3,0.4,0,0,0,0,0,0.5,0.44000000000000006,0.4375
0.75,0.45,0.3,0,0,0,0,0,0.54,0.43500000000000005,0.4875
0.5,0.35,0.0,0,0,1,0,0,0.33999999999999997,0.20500000000000002,0.3
0.75,0.3,0.5,0,0,0,0,0,0.52,0.49,0.4625
0.5,0.4,0.35,0,0,0,0,0,0.43000000000000005,0.395,0.4125
0.5,0.275,0.0,0,1,1,1,0,0.31000000000000005,0.1825,0.2625
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.75,0.3,0.4,0,0,0,0,0,0.5,0.44000000000000006,0.4375
0.75,0.3,0.3,0,0,0,0,0,0.48000000000000004,0.39,0.41250000000000003
0.0,0.4,0.5,1,0,0,0,1,0.26,0.37,0.325
0.0,0.3,0.0,1,0,1,1,1,0.12,0.09,0.15
0.5,0.96,0.0,0,0,1,0,0,0.5840000000000001,0.388,0.605
0.5,0.975,0.0,0,0,1,0,0,0.5900000000000001,0.39249999999999996,0.6125
0.75,0.8,0.1,0,0,0,0,0,0.6400000000000001,0.44,0.6125
0.75,0.9,0.2,0,0,0,0,0,0.7000000000000002,0.52,0.6875
0.0,0.05,0.1,1,1,0,1,1,0.04000000000000001,0.065,0.05
0.0,0.3,0.3,1,0,0,0,1,0.18,0.24,0.22499999999999998
0.5,0.9,0.3,0,0,0,0,0,0.6200000000000001,0.52,0.6499999999999999
0.5,0.2,0.0,0,1,1,1,0,0.28,0.16,0.225
0.5,0.7,0.0,0,0,1,0,0,0.48,0.31,0.475
0.5,0.275,0.0,0,1,1,1,0,0.31000000000000005,0.1825,0.2625
0.75,0.725,0.18,0,0,0,0,0,0.6260000000000001,0.4575,0.5950000000000001
0.0,0.325,0.0,1,0,1,1,1,0.13,0.0975,0.1625
0.5,0.1,0.0,0,1,1,1,0,0.24000000000000002,0.13,0.175
0.5,0.15,0.0,0,1,1,1,0,0.26,0.14500000000000002,0.2
0.0,0.025,0.0,1,1,1,1,1,0.010000000000000002,0.0075,0.0125
0.0,0.9,0.2,1,0,0,0,0,0.4,0.37,0.5
0.75,0.85,0.0,0,0,1,0,0,0.6400000000000001,0.405,0.6125
0.5,0.65,0.0,0,0,1,0,0,0.46,0.29500000000000004,0.45
0.25,0.9,0.0,0,0,1,0,0,0.4600000000000001,0.32,0.5125
0.0,0.35,0.4,1,0,0,0,1,0.22,0.305,0.275
0.75,0.75,0.0,0,0,1,0,0,0.6000000000000001,0.375,0.5625
0.0,0.225,0.4,1,1,0,1,1,0.17000000000000004,0.2675,0.21250000000000002
0.25,0.995,0.0,0,0,1,0,0,0.498,0.3485,0.56
0.5,0.0,0.0,0,1,1,1,0,0.2,0.1,0.125
0.0,0.52,0.4,1,0,0,0,0,0.28800000000000003,0.356,0.36
0.75,0.375,0.3,0,0,0,0,0,0.51,0.4125,0.45
0.5,0.3,0.0,0,0,1,0,0,0.32,0.19,0.275
0.5,0.225,0.0,0,1,1,1,0,0.29000000000000004,0.1675,0.2375
0.75,0.35,0.5,0,0,0,0,0,0.54,0.505,0.4875
0.5,0.275,0.0,0,1,1,1,0,0.31000000000000005,0.1825,0.2625
0.75,0.3,0.0,0,0,1,0,0,0.42000000000000004,0.24000000000000002,0.3375
0.0,0.85,0.0,1,0,1,1,0,0.34,0.255,0.425
0.0,0.45,0.6,1,0,0,0,1,0.30000000000000004,0.435,0.375
0.0,0.9,0.2,1,0,0,0,0,0.4,0.37,0.5
0.75,0.15,0.0,0,1,1,1,0,0.36000000000000004,0.195,0.2625
0.0,0.505,0.0,1,0,1,1,0,0.202,0.1515,0.2525
0.0,0.8,0.35,1,0,0,0,0,0.39000000000000007,0.415,0.48750000000000004
0.5,0.25,0.0,0,1,1,1,0,0.30000000000000004,0.175,0.25
0.0,0.7,0.3,1,0,0,0,0,0.33999999999999997,0.36,0.425
0.0,1.0,0.3,1,0,0,0,0,0.46,0.44999999999999996,0.575
0.5,0.15,0.0,0,1,1,1,0,0.26,0.14500000000000002,0.2
0.5,0.9,0.25,0,0,0,0,0,0.6100000000000001,0.495,0.6375
0.75,0.3,0.0,0,0,1,0,0,0.42000000000000004,0.24000000000000002,0.3375
0.0,0.015,0.0,1,1,1,1,1,0.006,0.0045,0.0075
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.0,0.85,0.3,1,0,0,0,0,0.4,0.405,0.5
0.75,0.85,0.0,0,0,1,0,0,0.6400000000000001,0.405,0.6125
0.5,0.45,0.4,0,0,0,0,0,0.46,0.43500000000000005,0.44999999999999996
0.0,0.2,0.0,1,1,1,1,1,0.08000000000000002,0.06,0.1
0.25,0.8,0.0,0,0,1,0,0,0.42000000000000004,0.29,0.4625
0.25,0.55,0.8,0,0,0,0,0,0.4800000000000001,0.615,0.5375000000000001
0.0,0.15,0.0,1,1,1,1,1,0.06,0.045,0.075
0.0,0.1,0.0,1,1,1,1,1,0.04000000000000001,0.03,0.05
0.0,0.05,0.5,1,1,0,1,1,0.12000000000000001,0.265,0.15
0.0,0.85,0.2,1,0,0,0,0,0.38,0.355,0.475
0.75,0.85,0.0,0,0,1,0,0,0.6400000000000001,0.405,0.6125
0.75,0.55,0.35,0,0,0,0,0,0.59,0.49000000000000005,0.55
0.75,0.4,0.4,0,0,0,0,0,0.54,0.47000000000000003,0.48750000000000004
0.0,0.9,0.15,1,0,0,0,0,0.39,0.34500000000000003,0.4875
0.75,0.625,0.4,0,0,0,0,0,0.6300000000000001,0.5375000000000001,0.6
0.5,0.5,0.9,0,0,0,0,0,0.5800000000000001,0.7,0.6
0.5,0.475,0.75,0,0,0,0,0,0.54,0.6174999999999999,0.55
0.25,0.15,0.25,0,1,0,0,0,0.21000000000000002,0.22,0.2
0.5,0.25,0.0,0,1,1,1,0,0.30000000000000004,0.175,0.25
0.75,0.6,0.28,0,0,0,0,0,0.5960000000000001,0.47000000000000003,0.5575
0.5,0.375,0.0,0,0,1,0,0,0.35000000000000003,0.2125,0.3125
0.0,0.5,0.0,1,0,1,1,1,0.2,0.15,0.25
0.25,0.5,0.0,0,0,1,0,1,0.30000000000000004,0.2,0.3125
0.0,0.55,0.4,1,0,0,0,0,0.30000000000000004,0.365,0.375
0.25,0.675,0.0,0,0,1,0,0,0.37,0.2525,0.4
0.0,0.01,0.0,1,1,1,1,1,0.004,0.003,0.005
0.0,0.1,0.5,1,1,0,1,1,0.14,0.28,0.175
0.0,0.25,0.0,1,1,1,1,1,0.1,0.075,0.125
0.0,0.95,0.15,1,0,0,0,0,0.41000000000000003,0.36,0.5125
0.25,0.9,0.0,0,0,1,0,0,0.4600000000000001,0.32,0.5125
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.0,0.35,0.0,1,0,1,1,1,0.13999999999999999,0.105,0.175
0.0,0.025,0.0,1,1,1,1,1,0.010000000000000002,0.0075,0.0125
0.0,0.025,0.0,1,1,1,1,1,0.010000000000000002,0.0075,0.0125
0.25,0.975,0.0,0,0,1,0,0,0.49,0.34249999999999997,0.55
0.25,0.01,0.9,0,1,0,0,0,0.28400000000000003,0.503,0.2925
0.0,0.75,0.5,1,0,0,0,0,0.4,0.475,0.5
0.0,0.1,0.0,1,1,1,1,1,0.04000000000000001,0.03,0.05
0.5,0.85,0.0,0,0,1,0,0,0.54,0.355,0.55
0.0,0.25,0.0,1,1,1,1,1,0.1,0.075,0.125
0.25,0.9,0.0,0,0,1,0,0,0.4600000000000001,0.32,0.5125
0.75,0.925,0.6,0,0,0,0,0,0.7900000000000001,0.7275,0.8
0.25,0.9,0.3,0,0,0,0,0,0.52,0.47,0.5874999999999999
0.0,0.95,0.0,1,0,1,1,0,0.38,0.285,0.475
0.0,0.4,0.0,1,0,1,1,1,0.16000000000000003,0.12,0.2
0.75,0.4,0.4,0,0,0,0,0,0.54,0.47000000000000003,0.48750000000000004
0.5,0.9,0.0,0,0,1,0,0,0.56,0.37,0.575
0.25,0.9,0.0,0,0,1,0,0,0.4600000000000001,0.32,0.5125
0.5,0.85,0.0,0,0,1,0,0,0.54,0.355,0.55
0.75,0.8,0.5,0,0,0,0,0,0.7200000000000001,0.64,0.7125
0.5,0.3,0.3,0,0,0,0,0,0.38,0.33999999999999997,0.35000000000000003
0.0,0.1,0.5,1,1,0,1,1,0.14,0.28,0.175
0.0,0.51,0.0,1,0,1,1,0,0.20400000000000001,0.153,0.255
0.25,0.85,0.1,0,0,0,0,0,0.4600000000000001,0.355,0.5125
0.0,0.6,0.0,1,0,1,1,0,0.24,0.18,0.3
0.0,0.5,0.1,1,0,0,0,1,0.22000000000000003,0.2,0.275
0.75,0.1,0.0,0,1,1,1,0,0.3400000000000001,0.18000000000000002,0.2375
0.25,0.3,0.9,0,0,0,0,1,0.4,0.5900000000000001,0.4375
0.75,0.25,0.1,0,1,0,0,0,0.42000000000000004,0.275,0.3375
0.0,0.8,0.0,1,0,1,1,0,0.32000000000000006,0.24,0.4
0.0,0.3,0.0,1,0,1,1,1,0.12,0.09,0.15
0.5,0.175,0.2,0,1,0,0,0,0.31000000000000005,0.2525,0.2625
0.75,0.35,0.4,0,0,0,0,0,0.52,0.455,0.4625
0.5,0.015,0.2,0,1,0,0,0,0.24600000000000002,0.20450000000000002,0.1825
0.75,0.3,0.0,0,0,1,0,0,0.42000000000000004,0.24000000000000002,0.3375
0.0,0.025,0.0,1,1,1,1,1,0.010000000000000002,0.0075,0.0125
0.0,0.025,0.0,1,1,1,1,1,0.010000000000000002,0.0075,0.0125
0.75,0.65,0.0,0,0,1,0,0,0.56,0.34500000000000003,0.5125
0.75,0.575,0.0,0,0,1,0,0,0.53,0.3225,0.475
0.25,0.15,0.4,0,1,0,0,1,0.24000000000000002,0.29500000000000004,0.23750000000000002
0.0,0.2,0.0,1,1,1,1,1,0.08000000000000002,0.06,0.1
0.0,0.15,0.3,1,1,0,1,1,0.12,0.195,0.15
0.0,0.35,0.3,1,0,0,0,1,0.19999999999999998,0.255,0.25
0.75,0.7,0.0,0,0,1,0,0,0.5800000000000001,0.36,0.5375
0.5,0.125,0.0,0,1,1,1,0,0.25,0.1375,0.1875
0.5,0.39,0.0,0,0,1,0,0,0.35600000000000004,0.217,0.32
0.0,0.35,0.0,1,0,1,1,1,0.13999999999999999,0.105,0.175
0.0,0.7,0.4,1,0,0,0,0,0.36,0.41000000000000003,0.44999999999999996
0.0,0.7,0.3,1,0,0,0,0,0.33999999999999997,0.36,0.425
0.5,0.45,0.0,0,0,1,0,0,0.38,0.23500000000000001,0.35
0.25,0.35,0.2,0,0,0,0,1,0.28,0.255,0.2875
0.25,0.3,0.0,0,0,1,0,1,0.22,0.14,0.2125
0.0,0.325,0.3,1,0,0,0,1,0.19,0.2475,0.2375
0.5,0.925,0.45,0,0,0,0,0,0.66,0.6025,0.7000000000000001
