fragility_supplied,fragility_recovered_rule,h1,h2,h5,c22b,l1,fragility_prob,match
0,0,1,2.0,1,1,19,2.6336633e-05,True
0,0,1,2.0,2,1,8,0.013295408,True
0,0,1,2.0,1,1,87,2.6336633e-05,True
0,0,1,1.0,1,1,60,2.6336633e-05,True
0,0,1,2.0,1,2,30,0.0096811233,True
1,1,2,,2,2,445,0.83337283,True
0,0,2,,2,1,24,0.013295408,True
0,0,2,,1,1,43,2.6336633e-05,True
0,0,2,,2,1,10,0.013295408,True
1,1,2,,2,2,5,0.83337283,True
0,0,1,1.0,1,2,22,0.0096811233,True
1,1,1,2.0,2,2,8,0.83337283,True
0,0,1,1.0,1,2,28,0.0096811233,True
0,0,2,,2,1,12,0.013295408,True
1,1,2,,2,2,12,0.83337283,True
0,0,1,2.0,1,2,6,0.0096811233,True
0,0,1,1.0,1,2,11,0.0096811233,True
0,0,1,2.0,1,2,120,0.0096811233,True
0,0,1,1.0,1,2,7,0.0096811233,True
1,1,2,,2,2,6,0.83337283,True
1,1,2,,2,2,6,0.83337283,True
0,0,1,1.0,1,1,12,2.6336633e-05,True
0,0,1,1.0,1,1,6,2.6336633e-05,True
1,1,2,,2,2,22,0.83337283,True
1,1,2,,2,2,8,0.83337283,True
1,1,2,,2,2,40,0.83337283,True
1,1,2,,2,2,30,0.83337283,True
0,0,1,1.0,1,1,26,2.6336633e-05,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,1,2.0,1,2,6,0.0096811233,True
1,1,2,,2,2,7,0.83337283,True
0,0,2,,2,1,24,0.013295408,True
0,0,2,,2,1,36,0.013295408,True
0,0,1,2.0,1,2,5,0.0096811233,True
1,1,1,2.0,2,2,5,0.83337283,True
1,1,1,2.0,2,2,7,0.83337283,True
1,1,2,,2,2,8,0.83337283,True
0,0,1,2.0,1,1,7,2.6336633e-05,True
0,0,1,2.0,1,1,95,2.6336633e-05,True
0,0,1,2.0,1,2,4,0.0096811233,True
0,0,1,1.0,1,1,5,2.6336633e-05,True
0,0,1,1.0,1,1,138,2.6336633e-05,True
0,0,1,2.0,1,2,70,0.0096811233,True
0,0,2,,1,2,5,0.0096811233,True
0,0,1,2.0,1,2,5,0.0096811233,True
0,0,2,,2,1,265,0.013295408,True
0,0,1,1.0,1,2,135,0.0096811233,True
0,0,1,2.0,1,1,53,2.6336633e-05,True
0,0,1,1.0,1,2,70,0.0096811233,True
0,0,1,1.0,1,2,23,0.0096811233,True
0,0,1,1.0,1,1,2100,2.6336633e-05,True
0,0,2,,1,1,96,2.6336633e-05,True
