fragility_risk_flex,fragility_prob,change_permanent_employment,change_temporary_employment,revenue_volatility,capacity_utilization_change,internet_for_business,external_finance_assets,delayed_client_payments,late_supplier_payments,digital_platform_difficulty,ecommerce_share,sector,firm_size,manager_experience_years,omega_score,fragility_label,revenue_volatility_binary,digital_platform_difficulty_binary
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,40,1,1,3,0.0096811233,Non-fragile,0,1
0,0.013295408,1,1.0,2,2,2,4,85,0,1,40,1,1,3,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,4,1,70,0,2,55,1,3,42,0.0096811233,Non-fragile,0,1
0,2.6336633e-05,1,1.0,1,2,4,4,70,18,1,45,1,2,17,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,4,4,100,0,2,65,1,1,2,0.83337283,Fragile,1,1
0,0.0096811233,1,2.0,1,2,4,1,60,0,2,20,2,2,6,0.0096811233,Non-fragile,0,1
0,0.83337283,1,1.0,2,2,1,1,50,0,2,30,3,1,1,0.83337283,Non-fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,5,3,1,1,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,1,65,20,1,80,1,3,50,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,4,4,80,0,1,70,2,2,15,2.6336633e-05,Non-fragile,0,0
0,0.013295408,1,1.0,2,2,2,2,72,0,1,30,1,2,5,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,1,1,4,70,0,1,80,2,2,5,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,1,4,50,40,2,70,3,1,4,0.83337283,Fragile,1,1
0,2.6336633e-05,1,1.0,1,2,1,1,60,0,1,50,2,2,5,2.6336633e-05,Non-fragile,0,0
1,0.83337283,2,,2,2,1,4,50,40,2,45,3,1,4,0.83337283,Fragile,1,1
0,0.013295408,1,2.0,2,2,4,4,80,0,1,99,1,2,13,0.013295408,Non-fragile,1,0
0,0.83337283,1,1.0,2,2,1,4,60,0,2,-9,1,2,50,0.83337283,Non-fragile,1,1
0,0.013295408,2,,2,2,1,4,60,40,1,4,1,2,12,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,1,1,1,70,30,2,75,3,1,3,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,4,4,100,0,2,60,1,1,5,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,4,4,60,0,2,45,3,1,7,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,1,50,50,2,70,3,1,3,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,2.0,1,2,1,4,85,0,2,55,3,1,4,0.0096811233,Non-fragile,0,1
0,0.0096811233,1,1.0,1,2,1,1,70,0,2,60,3,1,5,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,4,100,0,1,70,1,2,7,0.013295408,Non-fragile,1,0
1,0.83337283,2,,2,2,1,4,0,60,2,90,3,2,8,0.83337283,Fragile,1,1
0,0.013295408,2,,2,2,1,4,80,20,1,80,1,2,8,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,30,2,2,40,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,4,4,100,0,1,1,1,2,2,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,4,4,65,35,1,60,3,2,18,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,1,4,50,0,2,50,1,1,2,0.0096811233,Non-fragile,0,1
0,0.013295408,2,,2,2,1,1,70,30,1,40,3,2,57,0.013295408,Non-fragile,1,0
0,0.013295408,2,,2,2,1,1,50,30,1,100,1,3,58,0.013295408,Non-fragile,1,0
0,0.0096811233,1,2.0,1,2,1,4,40,0,2,30,3,2,40,0.0096811233,Non-fragile,0,1
0,0.013295408,1,1.0,2,2,4,4,75,25,1,80,3,1,20,0.013295408,Non-fragile,1,0
0,0.0096811233,1,1.0,1,2,4,4,100,0,2,60,1,1,20,0.0096811233,Non-fragile,0,1
1,0.83337283,2,,2,2,4,4,100,0,2,3,1,1,6,0.83337283,Fragile,1,1
0,2.6336633e-05,1,2.0,1,2,4,4,100,0,1,80,3,1,10,2.6336633e-05,Non-fragile,0,0
0,0.013295408,2,,2,2,1,4,70,30,1,70,3,2,10,0.013295408,Non-fragile,1,0
0,2.6336633e-05,1,1.0,1,2,4,4,100,0,1,70,3,2,15,2.6336633e-05,Non-fragile,0,0
0,0.83337283,1,1.0,2,2,1,4,50,40,2,90,1,3,40,0.83337283,Non-fragile,1,1
1,0.83337283,2,,2,2,4,4,100,0,2,40,3,1,4,0.83337283,Fragile,1,1
0,2.6336633e-05,2,,1,2,4,4,100,0,1,60,3,2,31,2.6336633e-05,Non-fragile,0,0
