fragility_risk_flex,omega_score,h1,h2,h5,h8,k82,k162,k3a,k3bc,c22b,k33,a4a,a6a,b6
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",0,80,No,40,Manufacturing,Medium,2
0,0.1731844,No,,No,No,No,No,100,0,Yes,40,Retail,Small,7
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",50,50,No,75,Retail,Small,4
0,0.1731844,Yes,No,Yes,No,No,No,95,0,Yes,95,Retail,Small,4
0,0.1731844,No,,No,No,No,No,100,0,Yes,25,Other Services,Small,37
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,70,30,Yes,93,Other Services,Medium,16
0,0.1731844,Yes,Yes,No,No,No,No,40,0,Yes,60,Other Services,Small,4
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",60,40,No,70,Retail,Small,4
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,70,Other Services,Large,350
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only","Yes, both a line of credit and a loan",20,70,Yes,95,Other Services,Small,15
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,70,30,Yes,90,Other Services,Large,300
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",0,100,No,20,Retail,Small,4
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,40,Retail,Small,5
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,50,50,Yes,60,Other Services,Medium,20
0,0.1731844,Yes,Yes,No,No,No,"Yes, a loan only",50,0,No,90,Other Services,Medium,7
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,70,30,Yes,95,Manufacturing,Medium,6
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",60,40,Yes,10,Other Services,Large,6
0,0.1731844,Yes,Yes,Yes,No,No,No,90,0,No,2,Other Services,Small,35
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,45,Retail,Small,2
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",65,20,Yes,80,Manufacturing,Large,50
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",50,0,No,80,Retail,Small,1
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,60,Manufacturing,Small,6
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,1,Other Services,Small,2
0,0.1731844,Yes,No,Yes,No,No,No,100,0,No,40,Manufacturing,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,60,40,No,40,Manufacturing,Medium,15
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,60,40,No,60,Manufacturing,Medium,10
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,70,25,Yes,80,Manufacturing,Medium,5
0,0.1731844,Yes,Yes,Yes,No,No,No,75,0,No,65,Retail,Small,8
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only",No,0,100,Yes,100,Manufacturing,Large,50
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,70,Other Services,Medium,18
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, both a line of credit and a loan",60,40,Yes,3,Manufacturing,Large,20
0,0.1731844,No,,Yes,No,"Yes, a loan only",No,75,20,Yes,1,Manufacturing,Large,30
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",60,0,Yes,80,Other Services,Medium,3
0,0.1731844,Yes,Yes,Yes,No,No,"Yes, a loan only",65,10,Yes,60,Retail,Medium,10
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",85,15,Yes,80,Manufacturing,Large,2
0,0.1731844,No,,Yes,No,"Yes, both a line of credit and a loan",No,10,90,No,2,Manufacturing,Small,2
0,0.1731844,No,,No,No,No,No,80,0,Yes,30,Other Services,Medium,32
0,0.1731844,Yes,Yes,No,No,"Yes, both a line of credit and a loan","Yes, a loan only",100,0,Yes,50,Other Services,Large,10
0,0.1731844,Yes,Yes,Yes,No,No,"Yes, a loan only",40,60,Yes,85,Retail,Small,5
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",50,50,No,70,Other Services,Small,3
0,0.1731844,No,,No,No,"Yes, a loan only",No,50,50,Yes,50,Manufacturing,Medium,16
0,0.1731844,Yes,No,Yes,No,No,No,100,0,Yes,80,Other Services,Medium,10
0,0.1731844,Yes,No,Yes,No,No,"Yes, a loan only",60,0,No,20,Retail,Medium,6
0,0.1731844,Yes,Yes,Yes,No,No,No,70,0,No,40,Manufacturing,Medium,5
0,0.1731844,Yes,Yes,No,No,"Yes, a loan only","Yes, a line of credit only",50,40,No,50,Other Services,Small,5
0,0.1731844,Yes,Yes,Yes,No,No,No,80,0,Yes,70,Retail,Medium,15
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,30,70,No,20,Retail,Small,2
0,0.1731844,No,,No,No,No,No,65,35,Yes,60,Other Services,Medium,18
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",60,0,Yes,50,Retail,Medium,5
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,80,0,Yes,100,Manufacturing,Medium,360
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",60,40,Yes,90,Manufacturing,Medium,5
0,0.1731844,No,,Yes,No,"Yes, a loan only","Yes, a line of credit only",70,25,No,30,Manufacturing,Small,12
0,0.1731844,No,,No,No,No,No,90,0,Yes,75,Other Services,Small,5
0,0.1731844,No,,No,No,No,No,100,0,Yes,30,Other Services,Small,3
0,0.1731844,Yes,No,Yes,No,No,No,80,0,No,15,Retail,Small,3
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only","Yes, a loan only",60,0,No,15,Retail,Small,1
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,85,0,No,55,Other Services,Small,4
0,0.1731844,No,,Yes,No,No,No,100,0,Yes,95,Retail,Large,95
0,0.1731844,No,,No,No,"Yes, a loan only","Yes, a loan only",70,30,Yes,40,Other Services,Medium,57
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,80,20,No,45,Retail,Small,2
0,0.1731844,Yes,Yes,Yes,No,No,No,100,0,No,30,Retail,Medium,40
0,0.1731844,No,,No,Yes,"Yes, a loan only","Yes, a loan only",60,20,Yes,70,Other Services,Medium,45
0,0.1731844,Yes,Yes,Yes,Yes,No,No,60,25,Yes,70,Other Services,Large,37
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only",No,60,40,Yes,25,Manufacturing,Medium,20
0,0.1731844,Yes,No,Yes,No,"Yes, a loan only",No,55,45,Yes,85,Retail,Small,14
0,0.1731844,Yes,Yes,No,No,No,No,75,25,Yes,80,Other Services,Small,20
0,0.1731844,Yes,Yes,Yes,No,"Yes, a loan only","Yes, a loan only",30,60,No,10,Manufacturing,Medium,40
